Time_ms,Amplitude_mV
1615.2922,2.5128
1617.2938,2.5717
1619.2954,2.6319
1621.2970,2.6904
1623.2986,2.7446
1625.3002,2.7941
1627.3018,2.8403
1629.3034,2.8846
1631.3050,2.9105
1633.3066,2.9067
1635.3082,2.8727
1637.3098,2.7912
1639.3114,2.6751
1641.3131,2.4960
1643.3147,2.2554
1645.3163,1.9531
1647.3179,1.6805
1649.3195,1.4751
1651.3211,1.3503
1653.3227,1.2662
1655.3243,1.2176
1657.3259,1.2114
1659.3275,1.2295
1661.3291,1.2770
1663.3307,1.3465
1665.3323,1.4341
1667.3339,1.5299
1669.3355,1.6198
1671.3371,1.7016
1673.3387,1.7711
1675.3403,1.8299
1677.3419,1.8774
1679.3435,1.9208
1681.3451,1.9594
1683.3467,1.9903
1685.3483,2.0149
1687.3499,2.0356
1689.3515,2.0594
1691.3531,2.0864
1693.3547,2.1084
1695.3563,2.1240
1697.3579,2.1320
1699.3595,2.1369
1701.3611,2.1386
1703.3627,2.1386
1705.3643,2.1386
1707.3659,2.1386
1709.3675,2.1386
1711.3691,2.1386
1713.3707,2.1386
1715.3723,2.1386
1717.3739,2.1386
1719.3755,2.1386
1721.3771,2.1386
1723.3787,2.1386
1725.3803,2.1386
1727.3819,2.1383
1729.3835,2.1364
1731.3851,2.1329
1733.3867,2.1282
1735.3883,2.1234
1737.3899,2.1190
1739.3915,2.1178
1741.3931,2.1197
1743.3947,2.1218
1745.3963,2.1191
1747.3979,2.1118
1749.3995,2.1039
1751.4011,2.0976
1753.4027,2.0944
1755.4043,2.0942
1757.4059,2.0973
1759.4075,2.1035
1761.4091,2.1112
1763.4107,2.1217
1765.4123,2.1355
1767.4139,2.1525
1769.4155,2.1675
1771.4171,2.1778
1773.4187,2.1829
1775.4203,2.1856
1777.4219,2.1867
1779.4235,2.1867
1781.4251,2.1867
1783.4267,2.1870
1785.4283,2.1889
1787.4299,2.1924
1789.4315,2.1981
1791.4331,2.2054
1793.4347,2.2143
1795.4363,2.2238
1797.4380,2.2333
1799.4396,2.2540
1801.4412,2.2953
1803.4428,2.3570
1805.4444,2.4058
1807.4460,2.4325
1809.4476,2.4343
1811.4492,2.4298
1813.4508,2.4190
1815.4524,2.3991
1817.4540,2.3728
1819.4556,2.3396
1821.4572,2.3044
1823.4588,2.2675
1825.4604,2.2633
1827.4620,2.3002
1829.4636,2.3676
1831.4652,2.4045
1833.4668,2.4035
1835.4684,2.3820
1837.4700,2.3700
1839.4716,2.3675
1841.4732,2.3675
1843.4748,2.3675
1845.4764,2.3685
1847.4780,2.3711
1849.4796,2.3755
1851.4812,2.3837
1853.4828,2.3950
1855.4844,2.4084
1857.4860,2.4201
1859.4876,2.4303
1861.4892,2.4382
1863.4908,2.4445
1865.4924,2.4478
1867.4940,2.4479
1869.4956,2.4449
1871.4972,2.4431
1873.4988,2.4443
1875.5004,2.4482
1877.5020,2.4508
1879.5036,2.4518
1881.5052,2.4531
1883.5068,2.4560
1885.5084,2.4604
1887.5100,2.4651
1889.5116,2.4699
1891.5132,2.4712
1893.5148,2.4677
1895.5164,2.4599
1897.5180,2.4522
1899.5196,2.4462
1901.5212,2.4395
1903.5228,2.4296
1905.5244,2.4164
1907.5260,2.4005
1909.5276,2.3830
1911.5292,2.3624
1913.5308,2.3386
1915.5324,2.3116
1917.5340,2.2879
1919.5356,2.2690
1921.5372,2.2555
1923.5388,2.2436
1925.5404,2.2333
1927.5420,2.2209
1929.5436,2.2055
1931.5452,2.1885
1933.5468,2.1760
1935.5484,2.1683
1937.5500,2.1648
1939.5516,2.1629
1941.5532,2.1622
1943.5548,2.1602
1945.5564,2.1567
1947.5580,2.1496
1949.5596,2.1395
1951.5612,2.1264
1953.5629,2.1141
1955.5645,2.1033
1957.5661,2.0929
1959.5677,2.0808
1961.5693,2.0673
1963.5709,2.0549
1965.5725,2.0440
1967.5741,2.0345
1969.5757,2.0250
1971.5773,2.0156
1973.5789,2.0077
1975.5805,2.0013
1977.5821,1.9980
1979.5837,1.9978
1981.5853,2.0008
1983.5869,2.0056
1985.5885,2.0103
1987.5901,2.0145
1989.5917,2.0171
1991.5933,2.0181
1993.5949,2.0193
1995.5965,2.0222
1997.5981,2.0262
1999.5997,2.0290
2001.6013,2.0301
2003.6029,2.0267
2005.6045,2.0186
2007.6061,2.0065
2009.6077,1.9979
2011.6093,1.9940
2013.6109,1.9940
2015.6125,1.9940
2017.6141,1.9940
2019.6157,1.9940
2021.6173,1.9940
2023.6189,1.9940
2025.6205,1.9940
2027.6221,1.9940
2029.6237,1.9940
2031.6253,1.9940
2033.6269,1.9940
2035.6285,1.9940
2037.6301,1.9940
2039.6317,1.9940
2041.6333,1.9940
2043.6349,1.9940
2045.6365,1.9940
2047.6381,1.9940
2049.6397,1.9940
2051.6413,1.9940
2053.6429,1.9932
2055.6445,1.9892
2057.6461,1.9821
2059.6477,1.9726
2061.6493,1.9631
2063.6509,1.9545
2065.6525,1.9505
2067.6541,1.9513
2069.6557,1.9541
2071.6573,1.9537
2073.6589,1.9500
2075.6605,1.9436
2077.6621,1.9356
2079.6637,1.9286
2081.6653,1.9264
2083.6669,1.9289
2085.6685,1.9337
2087.6701,1.9384
2089.6717,1.9431
2091.6733,1.9479
2093.6749,1.9526
2095.6765,1.9573
2097.6781,1.9621
2099.6797,1.9662
2101.6813,1.9688
2103.6829,1.9699
2105.6845,1.9724
2107.6861,1.9781
2109.6878,1.9849
2111.6894,1.9845
2113.6910,1.9761
2115.6926,1.9664
2117.6942,1.9630
2119.6958,1.9659
2121.6974,1.9707
2123.6990,1.9754
2125.7006,1.9811
2127.7022,1.9884
2129.7038,1.9972
2131.7054,2.0067
2133.7070,2.0162
2135.7086,2.0231
2137.7102,2.0254
2139.7118,2.0229
2141.7134,2.0166
2143.7150,2.0088
2145.7166,2.0007
2147.7182,1.9958
2149.7198,1.9940
2151.7214,1.9940
2153.7230,1.9940
2155.7246,1.9940
2157.7262,1.9940
2159.7278,1.9940
2161.7294,1.9940
2163.7310,1.9940
2165.7326,1.9940
2167.7342,1.9940
2169.7358,1.9940
2171.7374,1.9940
2173.7390,1.9940
2175.7406,1.9935
2177.7422,1.9898
2179.7438,1.9830
2181.7454,1.9716
2183.7470,1.9570
2185.7486,1.9398
2187.7502,1.9276
2189.7518,1.9217
2191.7534,1.9217
2193.7550,1.9217
2195.7566,1.9217
2197.7582,1.9217
2199.7598,1.9217
2201.7614,1.9224
2203.7630,1.9246
2205.7646,1.9285
2207.7662,1.9346
2209.7678,1.9423
2211.7694,1.9516
2213.7710,1.9610
2215.7726,1.9705
2217.7742,1.9800
2219.7758,1.9894
2221.7774,1.9977
2223.7790,2.0013
2225.7806,2.0001
2227.7822,1.9943
2229.7838,1.9869
2231.7854,1.9784
2233.7870,1.9725
2235.7886,1.9699
2237.7902,1.9699
2239.7918,1.9699
2241.7934,1.9699
2243.7950,1.9699
2245.7966,1.9699
2247.7982,1.9699
2249.7998,1.9699
2251.8014,1.9699
2253.8030,1.9699
2255.8046,1.9699
2257.8062,1.9699
2259.8078,1.9699
2261.8094,1.9699
2263.8110,1.9699
2265.8127,1.9699
2267.8143,1.9699
2269.8159,1.9699
2271.8175,1.9699
2273.8191,1.9699
2275.8207,1.9699
2277.8223,1.9695
2279.8239,1.9675
2281.8255,1.9640
2283.8271,1.9582
2285.8287,1.9508
2287.8303,1.9420
2289.8319,1.9344
2291.8335,1.9283
2293.8351,1.9245
2295.8367,1.9223
2297.8383,1.9216
2299.8399,1.9199
2301.8415,1.9167
2303.8431,1.9136
2305.8447,1.9136
2307.8463,1.9168
2309.8479,1.9246
2311.8495,1.9355
2313.8511,1.9490
2315.8527,1.9609
2317.8543,1.9713
2319.8559,1.9808
2321.8575,1.9902
2323.8591,1.9981
2325.8607,2.0013
2327.8623,1.9997
2329.8639,1.9975
2331.8655,1.9984
2333.8671,2.0028
2335.8687,2.0095
2337.8703,2.0178
2339.8719,2.0261
2341.8735,2.0329
2343.8751,2.0379
