Time_ms,I_mV
1092.8743,1.2511
1094.8759,1.2321
1096.8775,1.2132
1098.8791,1.1943
1100.8807,1.1754
1102.8823,1.1564
1104.8839,1.1375
1106.8855,1.1210
1108.8871,1.1077
1110.8887,1.0980
1112.8903,1.0904
1114.8919,1.0845
1116.8935,1.0798
1118.8951,1.0750
1120.8967,1.0701
1122.8983,1.0635
1124.8999,1.0554
1126.9015,1.0469
1128.9031,1.0400
1130.9047,1.0347
1132.9063,1.0316
1134.9079,1.0301
1136.9095,1.0301
1138.9111,1.0301
1140.9127,1.0301
1142.9143,1.0301
1144.9159,1.0301
1146.9175,1.0301
1148.9191,1.0301
1150.9207,1.0301
1152.9223,1.0301
1154.9239,1.0301
1156.9255,1.0301
1158.9271,1.0301
1160.9287,1.0301
1162.9303,1.0301
1164.9319,1.0301
1166.9335,1.0301
1168.9351,1.0301
1170.9367,1.0301
1172.9384,1.0301
1174.9400,1.0301
1176.9416,1.0301
1178.9432,1.0301
1180.9448,1.0301
1182.9464,1.0292
1184.9480,1.0267
1186.9496,1.0226
1188.9512,1.0178
1190.9528,1.0131
1192.9544,1.0092
1194.9560,1.0068
1196.9576,1.0060
1198.9592,1.0060
1200.9608,1.0060
1202.9624,1.0054
1204.9640,1.0031
1206.9656,0.9993
1208.9672,0.9946
1210.9688,0.9899
1212.9704,0.9856
1214.9720,0.9830
1216.9736,0.9819
1218.9752,0.9819
1220.9768,0.9819
1222.9784,0.9819
1224.9800,0.9819
1226.9816,0.9819
1228.9832,0.9808
1230.9848,0.9782
1232.9864,0.9740
1234.9880,0.9692
1236.9896,0.9645
1238.9912,0.9616
1240.9928,0.9619
1242.9944,0.9654
1244.9960,0.9701
1246.9976,0.9748
1248.9992,0.9788
1251.0008,0.9811
1253.0024,0.9819
1255.0040,0.9819
1257.0056,0.9819
1259.0072,0.9813
1261.0088,0.9791
1263.0104,0.9753
1265.0120,0.9705
1267.0136,0.9658
1269.0152,0.9616
1271.0168,0.9589
1273.0184,0.9578
1275.0200,0.9578
1277.0216,0.9578
1279.0232,0.9578
1281.0248,0.9578
1283.0264,0.9578
1285.0280,0.9578
1287.0296,0.9578
1289.0312,0.9587
1291.0328,0.9658
1293.0344,0.9793
1295.0360,0.9973
1297.0376,1.0137
1299.0392,1.0282
1301.0408,1.0342
1303.0424,1.0323
1305.0440,1.0228
1307.0456,1.0134
1309.0472,1.0039
1311.0488,0.9959
1313.0504,0.9896
1315.0520,0.9854
1317.0536,0.9829
1319.0552,0.9819
1321.0568,0.9819
1323.0584,0.9819
1325.0600,0.9819
1327.0616,0.9819
1329.0633,0.9819
1331.0649,0.9819
