Time_ms,I_mV
900.7206,1.4157
902.7222,1.4157
904.7238,1.4157
906.7254,1.4157
908.7270,1.4157
910.7286,1.4157
912.7302,1.4157
914.7318,1.4157
916.7334,1.4157
918.7350,1.4172
920.7366,1.4203
922.7382,1.4237
924.7398,1.4239
926.7414,1.4209
928.7430,1.4176
930.7446,1.4158
932.7462,1.4157
934.7478,1.4157
936.7494,1.4157
938.7510,1.4169
940.7526,1.4197
942.7542,1.4242
944.7558,1.4289
946.7574,1.4336
948.7590,1.4372
950.7606,1.4393
952.7622,1.4398
954.7638,1.4398
956.7654,1.4398
958.7670,1.4398
960.7686,1.4398
962.7702,1.4397
964.7718,1.4380
966.7734,1.4347
968.7750,1.4316
970.7766,1.4317
972.7782,1.4349
974.7798,1.4381
976.7814,1.4397
978.7830,1.4398
980.7846,1.4398
982.7862,1.4398
984.7878,1.4398
986.7894,1.4398
988.7910,1.4398
990.7926,1.4398
992.7942,1.4398
994.7958,1.4398
996.7974,1.4398
998.7990,1.4398
1000.8006,1.4398
1002.8022,1.4398
1004.8038,1.4398
1006.8054,1.4398
1008.8070,1.4398
1010.8086,1.4398
1012.8102,1.4398
1014.8118,1.4398
1016.8135,1.4398
1018.8151,1.4398
1020.8167,1.4398
1022.8183,1.4398
1024.8199,1.4398
1026.8215,1.4398
1028.8231,1.4398
1030.8247,1.4398
1032.8263,1.4398
1034.8279,1.4391
1036.8295,1.4368
1038.8311,1.4330
1040.8327,1.4283
1042.8343,1.4236
1044.8359,1.4193
1046.8375,1.4167
1048.8391,1.4157
1050.8407,1.4157
1052.8423,1.4157
1054.8439,1.4157
1056.8455,1.4157
1058.8471,1.4157
1060.8487,1.4157
1062.8503,1.4157
1064.8519,1.4157
1066.8535,1.4157
1068.8551,1.4157
1070.8567,1.4157
1072.8583,1.4157
1074.8599,1.4157
1076.8615,1.4157
1078.8631,1.4157
1080.8647,1.4157
1082.8663,1.4157
1084.8679,1.4157
1086.8695,1.4141
1088.8711,1.4110
1090.8727,1.4064
1092.8743,1.4016
1094.8759,1.3969
1096.8775,1.3949
1098.8791,1.3961
1100.8807,1.3984
1102.8823,1.3947
1104.8839,1.3847
1106.8855,1.3755
1108.8871,1.3725
1110.8887,1.3759
1112.8903,1.3806
1114.8919,1.3854
1116.8935,1.3901
1118.8951,1.3948
1120.8967,1.4000
1122.8983,1.4084
1124.8999,1.4199
1126.9015,1.4322
1128.9031,1.4413
1130.9047,1.4474
1132.9063,1.4538
1134.9079,1.4618
1136.9095,1.4704
1138.9111,1.4775
1140.9127,1.4830
1142.9143,1.4847
1144.9159,1.4833
1146.9175,1.4787
1148.9191,1.4739
1150.9207,1.4692
1152.9223,1.4658
1154.9239,1.4641
1156.9255,1.4633
1158.9271,1.4613
1160.9287,1.4576
1162.9303,1.4529
1164.9319,1.4481
1166.9335,1.4441
1168.9351,1.4433
1170.9367,1.4456
1172.9384,1.4503
1174.9400,1.4551
1176.9416,1.4593
1178.9432,1.4605
1180.9448,1.4585
1182.9464,1.4537
1184.9480,1.4490
1186.9496,1.4444
1188.9512,1.4430
1190.9528,1.4447
1192.9544,1.4495
1194.9560,1.4542
1196.9576,1.4589
1198.9592,1.4621
1200.9608,1.4638
1202.9624,1.4652
1204.9640,1.4696
1206.9656,1.4772
1208.9672,1.4867
1210.9688,1.4962
1212.9704,1.5026
1214.9720,1.4995
1216.9736,1.4870
1218.9752,1.4767
1220.9768,1.4773
1222.9784,1.4919
1224.9800,1.5217
1226.9816,1.5640
1228.9832,1.6214
1230.9848,1.6868
1232.9864,1.7605
1234.9880,1.8402
1236.9896,1.9235
1238.9912,2.0272
1240.9928,2.1600
1242.9944,2.3202
1244.9960,2.4529
1246.9976,2.5461
1248.9992,2.5558
1251.0008,2.4735
1253.0024,2.2994
1255.0040,2.1077
1257.0056,1.9458
1259.0072,1.8239
1261.0088,1.7287
1263.0104,1.6588
1265.0120,1.6143
1267.0136,1.5817
1269.0152,1.5611
1271.0168,1.5422
1273.0184,1.5233
1275.0200,1.5068
1277.0216,1.4934
1279.0232,1.4832
1281.0248,1.4738
1283.0264,1.4643
1285.0280,1.4538
1287.0296,1.4417
1289.0312,1.4286
1291.0328,1.4198
1293.0344,1.4157
1295.0360,1.4157
1297.0376,1.4157
1299.0392,1.4157
1301.0408,1.4157
1303.0424,1.4157
1305.0440,1.4157
1307.0456,1.4157
1309.0472,1.4157
1311.0488,1.4157
1313.0504,1.4157
1315.0520,1.4157
1317.0536,1.4157
1319.0552,1.4157
1321.0568,1.4157
1323.0584,1.4157
1325.0600,1.4157
1327.0616,1.4157
1329.0633,1.4157
1331.0649,1.4157
1333.0665,1.4157
1335.0681,1.4157
1337.0697,1.4157
1339.0713,1.4157
1341.0729,1.4157
1343.0745,1.4157
1345.0761,1.4157
1347.0777,1.4157
1349.0793,1.4157
1351.0809,1.4157
1353.0825,1.4157
1355.0841,1.4157
1357.0857,1.4157
1359.0873,1.4157
1361.0889,1.4157
1363.0905,1.4157
1365.0921,1.4157
1367.0937,1.4157
1369.0953,1.4157
1371.0969,1.4157
1373.0985,1.4157
1375.1001,1.4157
1377.1017,1.4157
1379.1033,1.4157
1381.1049,1.4161
1383.1065,1.4182
1385.1081,1.4219
1387.1097,1.4266
1389.1113,1.4313
1391.1129,1.4357
1393.1145,1.4385
1395.1161,1.4398
1397.1177,1.4398
1399.1193,1.4398
1401.1209,1.4398
1403.1225,1.4398
1405.1241,1.4398
1407.1257,1.4407
1409.1273,1.4432
1411.1289,1.4472
1413.1305,1.4520
1415.1321,1.4567
1417.1337,1.4607
1419.1353,1.4630
1421.1369,1.4639
1423.1385,1.4668
1425.1401,1.4730
1427.1417,1.4810
1429.1433,1.4860
1431.1449,1.4880
1433.1465,1.4893
1435.1481,1.4922
1437.1497,1.4967
1439.1513,1.5014
1441.1529,1.5062
1443.1545,1.5097
1445.1561,1.5117
1447.1577,1.5124
1449.1593,1.5143
1451.1609,1.5178
1453.1625,1.5225
1455.1641,1.5273
1457.1657,1.5318
1459.1673,1.5348
1461.1689,1.5361
1463.1705,1.5371
1465.1721,1.5395
1467.1737,1.5436
1469.1753,1.5467
1471.1769,1.5482
1473.1785,1.5490
1475.1801,1.5513
1477.1817,1.5552
1479.1833,1.5585
1481.1849,1.5601
1483.1865,1.5609
1485.1882,1.5631
1487.1898,1.5668
1489.1914,1.5716
1491.1930,1.5763
1493.1946,1.5806
1495.1962,1.5832
1497.1978,1.5843
1499.1994,1.5843
1501.2010,1.5843
1503.2026,1.5843
1505.2042,1.5843
1507.2058,1.5843
1509.2074,1.5833
1511.2090,1.5807
1513.2106,1.5765
1515.2122,1.5717
1517.2138,1.5670
1519.2154,1.5623
1521.2170,1.5575
1523.2186,1.5528
1525.2202,1.5481
1527.2218,1.5433
1529.2234,1.5394
1531.2250,1.5370
1533.2266,1.5361
1535.2282,1.5332
1537.2298,1.5271
1539.2314,1.5178
1541.2330,1.5084
1543.2346,1.4989
1545.2362,1.4908
1547.2378,1.4842
1549.2394,1.4788
1551.2410,1.4720
1553.2426,1.4636
1555.2442,1.4554
1557.2458,1.4486
1559.2474,1.4435
1561.2490,1.4388
1563.2506,1.4341
1565.2522,1.4293
1567.2538,1.4246
1569.2554,1.4200
1571.2570,1.4171
1573.2586,1.4157
1575.2602,1.4148
1577.2618,1.4123
1579.2634,1.4082
1581.2650,1.4035
1583.2666,1.3988
1585.2682,1.3948
1587.2698,1.3924
1589.2714,1.3916
1591.2730,1.3916
1593.2746,1.3916
1595.2762,1.3916
1597.2778,1.3916
1599.2794,1.3916
1601.2810,1.3916
1603.2826,1.3916
1605.2842,1.3916
1607.2858,1.3916
1609.2874,1.3916
1611.2890,1.3916
1613.2906,1.3916
1615.2922,1.3916
1617.2938,1.3916
1619.2954,1.3916
1621.2970,1.3916
1623.2986,1.3916
1625.3002,1.3916
1627.3018,1.3916
1629.3034,1.3916
1631.3050,1.3907
1633.3066,1.3882
1635.3082,1.3842
1637.3098,1.3794
1639.3114,1.3747
1641.3131,1.3707
1643.3147,1.3683
1645.3163,1.3675
1647.3179,1.3675
1649.3195,1.3675
1651.3211,1.3675
1653.3227,1.3675
1655.3243,1.3675
1657.3259,1.3675
1659.3275,1.3675
1661.3291,1.3675
1663.3307,1.3675
1665.3323,1.3675
1667.3339,1.3675
1669.3355,1.3675
1671.3371,1.3675
1673.3387,1.3675
1675.3403,1.3675
1677.3419,1.3675
1679.3435,1.3675
1681.3451,1.3673
1683.3467,1.3656
1685.3483,1.3622
1687.3499,1.3584
1689.3515,1.3561
1691.3531,1.3554
1693.3547,1.3570
1695.3563,1.3602
1697.3579,1.3642
1699.3595,1.3666
1701.3611,1.3675
1703.3627,1.3660
1705.3643,1.3630
1707.3659,1.3596
1709.3675,1.3592
1711.3691,1.3619
1713.3707,1.3654
1715.3723,1.3672
1717.3739,1.3675
1719.3755,1.3675
1721.3771,1.3675
1723.3787,1.3675
1725.3803,1.3675
1727.3819,1.3678
1729.3835,1.3697
1731.3851,1.3731
1733.3867,1.3778
1735.3883,1.3826
1737.3899,1.3872
1739.3915,1.3901
1741.3931,1.3916
1743.3947,1.3916
1745.3963,1.3916
1747.3979,1.3916
1749.3995,1.3916
1751.4011,1.3916
1753.4027,1.3916
1755.4043,1.3916
1757.4059,1.3916
1759.4075,1.3930
1761.4091,1.3960
1763.4107,1.4006
1765.4123,1.4054
1767.4139,1.4101
1769.4155,1.4135
1771.4171,1.4154
1773.4187,1.4148
1775.4203,1.4107
1777.4219,1.4035
1779.4235,1.3964
1781.4251,1.3924
1783.4267,1.3916
1785.4283,1.3916
1787.4299,1.3916
1789.4315,1.3916
1791.4331,1.3916
1793.4347,1.3916
1795.4363,1.3916
1797.4380,1.3916
1799.4396,1.3916
1801.4412,1.3916
1803.4428,1.3916
1805.4444,1.3916
1807.4460,1.3916
1809.4476,1.3916
1811.4492,1.3916
1813.4508,1.3916
1815.4524,1.3916
1817.4540,1.3916
1819.4556,1.3916
1821.4572,1.3916
1823.4588,1.3916
1825.4604,1.3916
1827.4620,1.3916
1829.4636,1.3916
1831.4652,1.3916
1833.4668,1.3916
1835.4684,1.3916
1837.4700,1.3916
1839.4716,1.3916
1841.4732,1.3916
1843.4748,1.3916
1845.4764,1.3906
1847.4780,1.3880
1849.4796,1.3838
1851.4812,1.3791
1853.4828,1.3743
1855.4844,1.3705
1857.4860,1.3682
1859.4876,1.3675
1861.4892,1.3675
1863.4908,1.3675
1865.4924,1.3675
1867.4940,1.3675
1869.4956,1.3675
1871.4972,1.3675
1873.4988,1.3675
1875.5004,1.3669
1877.5020,1.3647
1879.5036,1.3610
1881.5052,1.3589
1883.5068,1.3599
1885.5084,1.3636
1887.5100,1.3663
1889.5116,1.3675
1891.5132,1.3675
1893.5148,1.3675
1895.5164,1.3675
1897.5180,1.3675
1899.5196,1.3675
1901.5212,1.3675
1903.5228,1.3675
1905.5244,1.3675
1907.5260,1.3675
1909.5276,1.3675
1911.5292,1.3675
1913.5308,1.3675
1915.5324,1.3675
1917.5340,1.3690
1919.5356,1.3722
1921.5372,1.3769
1923.5388,1.3817
1925.5404,1.3864
1927.5420,1.3897
1929.5436,1.3914
1931.5452,1.3927
1933.5468,1.3970
1935.5484,1.4044
1937.5500,1.4113
1939.5516,1.4151
1941.5532,1.4161
1943.5548,1.4181
1945.5564,1.4217
1947.5580,1.4264
1949.5596,1.4311
1951.5612,1.4353
1953.5629,1.4363
1955.5645,1.4342
1957.5661,1.4295
1959.5677,1.4247
1961.5693,1.4201
1963.5709,1.4171
1965.5725,1.4157
1967.5741,1.4157
1969.5757,1.4157
1971.5773,1.4157
1973.5789,1.4157
1975.5805,1.4157
1977.5821,1.4157
1979.5837,1.4157
1981.5853,1.4157
1983.5869,1.4171
1985.5885,1.4201
1987.5901,1.4247
1989.5917,1.4294
1991.5933,1.4341
1993.5949,1.4376
1995.5965,1.4395
1997.5981,1.4398
1999.5997,1.4398
2001.6013,1.4398
2003.6029,1.4398
2005.6045,1.4398
2007.6061,1.4395
2009.6077,1.4376
2011.6093,1.4342
2013.6109,1.4295
2015.6125,1.4247
2017.6141,1.4203
2019.6157,1.4189
2021.6173,1.4208
2023.6189,1.4255
2025.6205,1.4302
2027.6221,1.4350
2029.6237,1.4335
2031.6253,1.4256
2033.6269,1.4150
2035.6285,1.4122
2037.6301,1.4173
2039.6317,1.4329
2041.6333,1.4553
2043.6349,1.4884
2045.6365,1.5329
2047.6381,1.5882
2049.6397,1.6635
2051.6413,1.7547
2053.6429,1.8626
2055.6445,1.9759
2057.6461,2.0914
2059.6477,2.2409
2061.6493,2.4355
2063.6509,2.6564
2065.6525,2.7775
2067.6541,2.7860
2069.6557,2.6768
2071.6573,2.5289
2073.6589,2.3430
2075.6605,2.1507
2077.6621,1.9666
2079.6637,1.8128
2081.6653,1.7017
2083.6669,1.6333
2085.6685,1.5963
2087.6701,1.5705
2089.6717,1.5555
2091.6733,1.5390
2093.6749,1.5210
2095.6765,1.5048
2097.6781,1.4919
2099.6797,1.4821
2101.6813,1.4726
2103.6829,1.4632
2105.6845,1.4537
2107.6861,1.4442
2109.6878,1.4352
2111.6894,1.4277
2113.6910,1.4218
2115.6926,1.4182
2117.6942,1.4161
2119.6958,1.4157
2121.6974,1.4157
2123.6990,1.4157
2125.7006,1.4157
2127.7022,1.4157
2129.7038,1.4157
2131.7054,1.4157
2133.7070,1.4157
2135.7086,1.4157
2137.7102,1.4157
2139.7118,1.4157
2141.7134,1.4157
2143.7150,1.4157
2145.7166,1.4157
2147.7182,1.4157
2149.7198,1.4157
2151.7214,1.4157
2153.7230,1.4157
2155.7246,1.4157
2157.7262,1.4157
2159.7278,1.4157
2161.7294,1.4157
2163.7310,1.4157
2165.7326,1.4161
2167.7342,1.4180
2169.7358,1.4216
2171.7374,1.4263
2173.7390,1.4311
2175.7406,1.4355
2177.7422,1.4384
2179.7438,1.4398
2181.7454,1.4398
2183.7470,1.4398
2185.7486,1.4398
2187.7502,1.4398
2189.7518,1.4398
2191.7534,1.4398
2193.7550,1.4398
2195.7566,1.4398
2197.7582,1.4398
2199.7598,1.4398
2201.7614,1.4404
2203.7630,1.4427
2205.7646,1.4465
2207.7662,1.4513
2209.7678,1.4560
2211.7694,1.4602
2213.7710,1.4628
2215.7726,1.4639
2217.7742,1.4639
2219.7758,1.4639
2221.7774,1.4639
2223.7790,1.4639
2225.7806,1.4639
2227.7822,1.4639
2229.7838,1.4639
2231.7854,1.4639
2233.7870,1.4639
2235.7886,1.4639
2237.7902,1.4639
2239.7918,1.4639
2241.7934,1.4640
2243.7950,1.4656
2245.7966,1.4689
2247.7982,1.4736
2249.7998,1.4784
2251.8014,1.4831
2253.8030,1.4863
2255.8046,1.4879
2257.8062,1.4886
2259.8078,1.4909
2261.8094,1.4947
2263.8110,1.4994
2265.8127,1.5042
2267.8143,1.5089
2269.8159,1.5136
2271.8175,1.5184
2273.8191,1.5231
2275.8207,1.5278
2277.8223,1.5322
2279.8239,1.5350
2281.8255,1.5361
2283.8271,1.5383
2285.8287,1.5437
2287.8303,1.5515
2289.8319,1.5555
2291.8335,1.5548
2293.8351,1.5520
2295.8367,1.5523
2297.8383,1.5558
2299.8399,1.5605
2301.8415,1.5653
2303.8431,1.5700
2305.8447,1.5747
2307.8463,1.5795
2309.8479,1.5827
2311.8495,1.5843
2313.8511,1.5843
2315.8527,1.5843
2317.8543,1.5843
2319.8559,1.5857
2321.8575,1.5887
2323.8591,1.5927
2325.8607,1.5953
2327.8623,1.5964
2329.8639,1.5951
2331.8655,1.5923
2333.8671,1.5879
2335.8687,1.5832
2337.8703,1.5785
2339.8719,1.5726
2341.8735,1.5652
2343.8751,1.5563
2345.8767,1.5468
2347.8783,1.5373
2349.8799,1.5279
2351.8815,1.5184
2353.8831,1.5088
2355.8847,1.4977
2357.8863,1.4850
2359.8879,1.4716
2361.8895,1.4598
2363.8911,1.4496
2365.8927,1.4416
2367.8943,1.4353
2369.8959,1.4305
2371.8975,1.4257
2373.8991,1.4210
2375.9007,1.4163
2377.9023,1.4115
2379.9039,1.4068
2381.9055,1.4021
2383.9071,1.3973
2385.9087,1.3938
2387.9103,1.3919
2389.9119,1.3916
2391.9135,1.3916
2393.9151,1.3916
2395.9167,1.3927
2397.9183,1.3953
2399.9199,1.3991
2401.9215,1.4002
2403.9231,1.3982
2405.9247,1.3944
2407.9263,1.3922
2409.9279,1.3916
2411.9295,1.3916
2413.9311,1.3916
2415.9327,1.3916
2417.9343,1.3916
2419.9359,1.3916
2421.9376,1.3916
2423.9392,1.3916
2425.9408,1.3916
2427.9424,1.3916
